setting,coverage,I_ASR,I_NLU,ASR_pct,word_std_partial,n_classes,n_devel,n_test
alpha=0.05,0.959,-0.13,1.619,-8.7,0.063,18,2033,2974
alpha=0.1,0.914,-0.003,0.57,-0.5,0.057,18,2033,2974
alpha=0.2,0.797,0.009,-0.069,,-0.046,18,2033,2974
target=scenario(18类),0.914,-0.003,0.57,-0.5,0.057,18,2033,2974
target=intent_full(60类),0.914,-0.012,1.558,-0.8,0.042,60,2033,2974
score=LAC,0.914,-0.003,0.57,-0.5,0.057,18,2033,2974
score=APS,0.892,-0.832,5.942,-16.3,0.071,18,2033,2974
seed=1,0.911,-0.008,0.613,-1.3,0.054,18,2033,2974
seed=2,0.911,-0.005,0.637,-0.8,0.057,18,2033,2974
seed=3,0.908,-0.01,0.553,-1.9,0.061,18,2033,2974
