scenario,n,true_delta,method_conf,wer
takeaway,57,0.2807017543859649,0.21459952465748336,0.2203106117233541
datetime,103,0.24271844660194175,0.1717569677657826,0.21753526947701704
alarm,96,0.22916666666666666,0.10331812353124864,0.2243152706158221
transport,124,0.20967741935483872,0.13669141619265696,0.20466495869721676
audio,62,0.20967741935483872,0.13089457891845574,0.1678955453149001
lists,142,0.19014084507042253,0.1497417680257505,0.23248476875237437
social,106,0.16037735849056603,0.16010948640043304,0.20826205487692723
iot,220,0.1590909090909091,0.09647221615846471,0.1698964671691944
email,271,0.14391143911439114,0.0859851586044611,0.18293694592047782
recommendation,94,0.13829787234042554,0.2054673347312907,0.14686196259269158
play,387,0.13178294573643412,0.12619982032951968,0.227454290233588
qa,288,0.125,0.1692146005051304,0.2152778519705603
calendar,402,0.11442786069651742,0.11855380780264328,0.20351464277917536
general,189,0.10052910052910052,0.306571085928779,0.18898424085165447
weather,156,0.09615384615384616,0.08200517720170532,0.14870428716582562
music,81,0.08641975308641975,0.1644006273074561,0.13916232312918472
news,124,0.056451612903225805,0.14427034101847688,0.14148908623529116
cooking,72,-0.027777777777777776,0.17326462051231903,0.12688642376142376
