f_n_words,f_oov,f_rare,f_mlogf,f_rep,f_mwlen,f_short,id,scenario,true_delta,conf_proxy,est_wer,wer
7.0,0.14285714285714285,0.14285714285714285,4.975550693303874,0.0,3.0,0.0,0,alarm,0.0,0.13409591171651147,0.28143164346901256,0.25
1.0,0.0,0.0,2.6390573296152584,0.0,5.0,1.0,3,audio,0.0,0.05805438956389697,0.22665927736424926,0.0
5.0,0.0,0.0,5.118370217423708,0.0,3.4,0.0,8,iot,-2.0,0.37865052698045754,0.23410909402462338,0.6
5.0,0.2,0.4,3.9705389921328935,0.0,4.6,0.0,14,iot,1.0,0.5156524379452518,0.24973321209993027,0.0
8.0,0.0,0.0,5.817261564966053,0.0,4.125,0.0,19,iot,0.0,0.0013561260972517752,0.07015144139932798,0.25
6.0,0.0,0.3333333333333333,4.11480322820836,0.0,4.0,0.0,27,iot,1.0,0.620139988886818,0.21265961631187016,0.16666666666666666
3.0,0.3333333333333333,0.6666666666666666,3.1404164618740165,0.0,5.333333333333333,0.0,31,iot,1.0,0.5814667563852349,0.5124299720373829,0.3333333333333333
8.0,0.0,0.125,5.4372088943083305,0.0,4.25,0.0,41,general,0.0,0.439009219509633,0.12436743169742487,0.0
3.0,0.3333333333333333,0.3333333333333333,3.72357226883236,0.0,4.333333333333333,0.0,46,general,0.0,0.6405990706847489,0.33144033408415235,0.3333333333333333
5.0,0.0,0.2,5.750178226230721,0.0,4.8,0.0,47,datetime,0.0,0.002809037389319924,0.19181033998709082,0.0
9.0,0.3333333333333333,0.3333333333333333,4.685217205548781,0.0,3.3333333333333335,0.0,50,datetime,0.0,0.006404900881899045,0.3985873111075953,0.6363636363636364
7.0,0.14285714285714285,0.14285714285714285,5.291085050111512,0.0,2.2857142857142856,0.0,59,alarm,0.0,0.006827423813078326,0.4094113137404605,0.6
5.0,0.0,0.0,6.278343713546915,0.0,3.6,0.0,61,alarm,0.0,0.0013539149738245326,0.11505608186049336,0.0
5.0,0.0,0.0,6.540885120570695,0.0,3.6,0.0,63,alarm,0.0,0.006356070032709327,0.1094586931533622,0.2
5.0,0.0,0.4,3.716886152469828,0.0,3.8,0.0,71,music,2.0,0.5088615905514997,0.266638642823914,0.75
4.0,0.25,0.5,2.367405742476566,0.0,6.75,0.0,80,iot,1.0,0.11735022483397917,0.49270730029847093,0.25
4.0,0.0,0.0,5.643552183276382,0.0,4.25,0.0,85,datetime,0.0,0.10265983616952967,0.15628051319873387,0.0
5.0,0.2,0.2,5.430437079956767,0.0,3.4,0.0,86,datetime,3.0,0.6701787212209024,0.40612320919395734,0.2
8.0,0.0,0.0,5.0699674593178035,0.0,4.5,0.0,89,takeaway,0.0,0.0848777839811865,0.10158260646883455,0.14285714285714285
4.0,0.0,0.0,4.817393778738077,0.0,5.25,0.0,100,weather,0.0,0.09892954981686386,0.13565863709456213,0.25
4.0,0.0,0.0,5.113530957597402,0.0,5.75,0.0,102,weather,0.0,0.011227802911240814,0.08872521432840398,0.0
6.0,0.0,0.0,6.397859612766694,0.0,4.5,0.0,103,weather,0.0,0.005105229042449033,0.08023484547619415,0.16666666666666666
6.0,0.0,0.16666666666666666,4.909086333572341,0.0,2.6666666666666665,0.0,122,general,1.0,0.6369824077288752,0.47360599666266345,0.6
5.0,0.2,0.2,4.990138244935584,0.0,3.2,0.0,124,general,1.0,0.3802841237583733,0.2811727762789502,0.2
3.0,0.0,0.3333333333333333,4.843071007892956,0.0,4.333333333333333,0.0,128,datetime,1.0,0.1837695666948822,0.23741642986503894,0.3333333333333333
4.0,0.0,0.0,4.754489557051955,0.0,3.5,0.0,132,takeaway,0.0,0.001802745356444646,0.19373768317421294,0.0
4.0,0.0,0.0,6.273276006659916,0.0,3.25,0.0,150,music,0.0,0.03621797748764277,0.07752568874867462,0.0
3.0,0.0,0.0,5.615642433173431,0.0,5.0,0.0,151,play,0.0,0.014656672471314414,0.09177089228066851,0.25
3.0,0.0,0.0,5.807720867640971,0.0,4.666666666666667,0.0,158,iot,0.0,0.0014222268135204441,0.11517813012345103,0.0
4.0,0.25,0.25,2.1607360991804496,0.0,4.75,0.0,168,takeaway,0.0,0.38627759429171005,0.37327918417394895,0.75
4.0,0.0,0.0,4.7658854464827325,0.0,4.25,0.0,169,takeaway,0.0,0.01009152901449295,0.1696077547502789,0.0
4.0,0.0,0.0,4.093074675786276,0.0,4.25,0.0,170,takeaway,0.0,0.033756043849260675,0.27160219284280956,0.0
6.0,0.0,0.16666666666666666,4.509232293878144,0.0,3.8333333333333335,0.0,171,takeaway,2.0,0.4351257208674141,0.24576904221592277,1.0
8.0,0.125,0.125,4.210376474347666,0.0,3.125,0.0,174,alarm,1.0,0.4595007693913681,0.3089035606058336,0.6666666666666666
6.0,0.0,0.0,5.367059955944487,0.0,4.166666666666667,0.0,177,news,0.0,0.004911182806236369,0.11065960371143253,0.6
4.0,0.0,0.0,5.344796804547156,0.0,5.75,0.0,178,news,0.0,0.011753333349927786,0.11271096984698332,0.0
4.0,0.0,0.0,5.7504747729947,0.0,4.5,0.0,182,play,0.0,0.0007952828746946583,0.09017551731089775,0.0
11.0,0.09090909090909091,0.09090909090909091,5.588870245191486,0.0,3.6363636363636362,0.0,185,play,0.0,0.003723449505205312,0.12118719286416932,0.09090909090909091
3.0,0.0,0.0,5.819364692825974,0.0,3.6666666666666665,0.0,189,audio,1.0,0.17406099655304885,0.1260168494083735,1.0
4.0,0.0,0.0,6.743726316315702,0.0,3.0,0.0,197,datetime,0.0,0.0034999490509496356,0.2659896252187324,0.0
5.0,0.0,0.0,5.451966796583576,0.0,4.6,0.0,201,alarm,0.0,0.05339735033388371,0.10179342738452819,0.3333333333333333
7.0,0.0,0.14285714285714285,5.72681100269632,0.0,3.857142857142857,0.0,216,weather,0.0,0.01725033419555977,0.1507909085751427,0.16666666666666666
6.0,0.0,0.0,4.944576887365657,0.0,5.0,0.0,219,weather,0.0,0.002244597003152049,0.13551775503855173,0.0
5.0,0.0,0.0,4.369083458550915,0.0,4.6,0.0,220,play,0.0,0.062444513734637,0.1723690669229635,0.6666666666666666
9.0,0.1111111111111111,0.1111111111111111,4.900585050862724,0.0,3.4444444444444446,0.0,250,play,0.0,0.3140369501290954,0.2890621397993111,0.1111111111111111
11.0,0.0,0.0,5.06481518366847,0.0,3.909090909090909,0.0,254,play,0.0,0.09990132843393884,0.09376543183991885,0.3
4.0,0.0,0.25,5.0111619389968345,0.0,3.25,0.0,258,audio,1.0,0.15211421753702536,0.18551669774861973,0.0
5.0,0.0,0.2,5.0806238090710245,0.0,3.4,0.0,261,audio,0.0,0.06597432635467604,0.23516431979103453,0.0
5.0,0.0,0.0,5.385754098141694,0.0,4.4,0.0,263,iot,0.0,0.0020629613694086446,0.10780059041832411,0.0
6.0,0.0,0.16666666666666666,5.069092514683924,0.0,5.0,0.0,279,weather,-1.0,0.1231625331113233,0.10665362716618111,0.0
11.0,0.0,0.09090909090909091,5.290901517464949,0.0,4.181818181818182,0.0,281,news,0.0,0.004358126348715241,0.10150470511268922,0.0
8.0,0.0,0.0,6.134975227419098,0.0,4.0,0.0,286,iot,0.0,0.001232494347808033,0.06830765626418077,0.14285714285714285
5.0,0.0,0.2,4.0403979594611155,0.0,4.0,0.0,290,iot,1.0,0.1758339758986206,0.33058108897677124,0.75
5.0,0.0,0.0,5.855315626205929,0.0,4.4,0.0,292,iot,0.0,0.0011647534909861035,0.07649590129575633,0.0
5.0,0.0,0.2,4.6734229397628795,0.0,4.6,0.0,296,play,0.0,0.0031281496133864772,0.22021677287479152,0.75
4.0,0.0,0.25,3.2300348690856557,0.0,4.75,0.0,297,play,1.0,0.27469637813109327,0.29112886346842115,0.25
4.0,0.0,0.0,7.174225559717327,0.0,4.0,0.0,299,weather,0.0,0.0009501546515119363,0.24960887386315847,0.0
8.0,0.0,0.25,4.725743587770726,0.0,3.5,0.0,310,datetime,0.0,0.2529419407949224,0.23056901304442948,0.125
6.0,0.0,0.0,5.352860529582954,0.0,3.6666666666666665,0.0,315,audio,0.0,0.022903297665031408,0.1307611427773904,0.16666666666666666
4.0,0.0,0.0,4.885665525762136,0.0,3.75,0.0,317,audio,0.0,0.10611713992590821,0.21350486129406787,0.0
